producto_normalizado,marketplace,url_producto,titulo_detectado,imagen_url,imagen_local,estado_extraccion
Gel refrigerante frigogel,Mercado Libre,https://www.mercadolibre.com.mx/frigogel-compresas-de-gel-congelante-envase-rigido1-pack10/p/MLM2091162364,"Frigogel |compresas De Gel Congelante, Envase Rígido1 Pack10 - $ 338",https://http2.mlstatic.com/D_NQ_NP_716218-MLM82039857699_012025-O.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\gel-refrigerante-frigogel.jpg,ok
Agar Mueller Hinton 38 g para 1 L,Mercado Libre,https://www.mercadolibre.com.mx/agar-mueller-hinton-38-g-para-1-l/p/MLM2084718645,Agar Mueller Hinton Mcd 38 G Para 1 L De Medio De Cultivo - $ 249,https://http2.mlstatic.com/D_NQ_NP_619399-MLM113085763361_062026-O.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\agar-mueller-hinton-38-g-para-1-l.jpg,ok
Bomba de condensado para minisplit,Mercado Libre,https://www.mercadolibre.com.mx/bomba-de-condensado-drenado-minisplit-220v-hasta-24000-btu/up/MLMU458431181,"Bomba De Condensado Drenado Minisplit 220v Hasta 24,000 Btu - $ 1,433.44",https://http2.mlstatic.com/D_NQ_NP_967769-MLM88435341134_072025-O.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\bomba-de-condensado-para-minisplit.jpg,ok
Luces LED con sensor para clóset,Mercado Libre,https://articulo.mercadolibre.com.mx/MLM-3014435932-4-piezas-con-sensor-movimiento-luz-de-led-closet-usb-50cm-_JM,4 Piezas Con Sensor Movimiento Luz De Led Clóset Usb 50cm - $ 174.87,https://http2.mlstatic.com/D_NQ_NP_970603-CBT95742824836_102025-O-4-piezas-con-sensor-movimiento-luz-de-led-closet-usb-50cm.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\luces-led-con-sensor-para-cl-set.jpg,ok
Agua peptonada amortiguada 100 g,Mercado Libre,https://www.mercadolibre.com.mx/agua-peptonada-amortiguada-100-g/up/MLMU2848475515,Agua Peptonada Amortiguada 100 G - $ 470,https://http2.mlstatic.com/D_NQ_NP_696659-MLM90561189527_082025-O.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\agua-peptonada-amortiguada-100-g.jpg,ok
Bote de residuos peligrosos 21 L,Mercado Libre,https://www.mercadolibre.com.mx/bote-rojo-con-pedal-para-residuos-peligrosos-21-litros-rpbi/up/MLMU488785710,Bote Rojo Con Pedal Para Residuos Peligrosos 21 Litros Rpbi - $ 544.35,https://http2.mlstatic.com/D_NQ_NP_804241-MLM94973883309_102025-O.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\bote-de-residuos-peligrosos-21-l.jpg,ok
Hielera de unicel No. 4,Mercado Libre,https://www.mercadolibre.com.mx/hielera-de-unicel-no-4--25-piezas-con-caja/up/MLMU503130274,"25 Hieleras Unicel Hu4 5.3 L Con 25 Cajas Para Envío Térmico - $ 3,300",https://http2.mlstatic.com/D_NQ_NP_627639-MLM114654820277_072026-O.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\hielera-de-unicel-no-4.jpg,ok
Solución para electrodos pH 3M KCl,Mercado Libre,https://www.mercadolibre.com.mx/solucion-electrodos-ph-para-almacenar-3m-kcl/up/MLMU456074483,null,https://m.media-amazon.com/images/I/51x4RS3fcAL._AC_SL3840_.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\solucion-para-electrodos-ph-3m-kcl.jpg,ok
Escuadra profesional 9 cm sin bisel,Mercado Libre,https://www.mercadolibre.com.mx/escuadra-profesional-9cm-sin-bisel/p/MLM43798329,Escuadra Profesional 9cm Sin Bisel - $ 69,https://http2.mlstatic.com/D_NQ_NP_938200-MLA100107888237_122025-O.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\escuadra-profesional-9-cm-sin-bisel.jpg,ok
Azida de sodio 100 g,Mercado Libre,https://articulo.mercadolibre.com.mx/MLM-656536902-azida-de-sodio-r-a-de-100-g-fagalab-_JM,"Azida De Sodio R. A. De 100 G Fagalab - $ 6,800",https://http2.mlstatic.com/D_NQ_NP_779012-MLM48011361776_102021-O-azida-de-sodio-r-a-de-100-g-fagalab.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\azida-de-sodio-100-g.jpg,ok
